,hhid,_merge,check_dist,gt30
373,62783125,,,
374,719113118,,,
375,62676119,,,
376,62234123,,,
377,62675114,,,
378,62677118,,,
379,62228102,,,
380,62792124,,,
381,62222117,,,
382,62230109,uuid:29130ce6-6ce1-4cae-8239-7f9604b5a1b0,2020-12-21 02:58:56,2020-12-11 03:16:11
383,62556115,,,
384,7114146103,,,
385,7114153117,2020-11-26 05:26:23,2020-11-26 06:24:28,2020-11-26 05:28:00
386,62235120,,,
387,62235103,,,
388,62227122,2020-12-03 05:31:38,2020-12-03 06:58:35,2020-12-03 05:55:00
389,7110122121,,,
390,7114157126,,,
391,62230101,2020-12-11 01:53:00,,
392,62229127,,,
393,7114150125,,,
394,7114155107,,,0.0
395,7114150114,,,
396,62227114,,,
397,62551126,,,
398,62789115,,,
399,62227125,2020-12-03 05:09:09,2020-12-03 03:50:05,2020-12-03 02:35:00
400,7114150111,,,
401,62676117,2020-12-12 08:08:00,,
402,62681121,,,
403,7114145119,2020-11-27 07:54:00,,
404,62222115,,,
405,62550111,,,
406,62783118,,,
407,62227124,,,
408,7114145107,,,
409,7114145104,2020-12-01 06:51:24,2020-11-27 05:38:15,2020-11-27 06:42:10
410,62229111,,,
411,7114151115,,,
412,7112132116,,,
413,62782111,2020-12-03 00:09:17,2020-12-03 01:51:17,2020-12-03 00:44:00
414,719109120,,,
415,7114156101,,,
416,7114145106,2020-11-27 05:20:45,2020-11-27 04:20:00,
417,62679114,,,
418,62790125,,,
419,11618520,,,
420,7110122124,,,
421,62232113,,,
422,62790101,,,
423,62677111,,,
424,62232104,,,
425,719109125,,,1.0
426,719108103,,,
427,7114156118,Interested,No,No
428,719114112,2020-11-20 08:50:24,2020-11-20 07:39:00,
429,7112136107,,,
430,7110115117,,,
431,7114158126,962.7,4.2,11:51:35
432,7114158111,2020-11-30 05:06:40,2020-11-30 06:22:48,2020-11-30 05:11:00
433,7114153115,,,
434,7114146119,2020-11-28 08:49:00,,
435,62231108,2020-11-27 06:44:11,2020-11-27 07:36:03,2020-11-27 06:48:00
436,62236114,,,
437,10709118,,,
438,11618116,0.0,0.0,0.0
439,7114153105,,,
440,719107106,2020-11-30 06:08:28,2020-11-30 04:14:00,
441,62230120,,,
442,62554108,2020-12-07 08:34:00,,
443,62224107,13:21:53,231,3286
444,719113119,uuid:60274001-ae77-4e8a-8112-d4ee2b06f505,2020-11-24 03:34:32,2020-11-18 13:39:37
445,7114152127,,,
446,7114152126,,1.0,0.0
447,62788125,2020-11-25 09:41:00,,
448,7114153119,2342,2342,39.7
449,62222103,32.666666666666664,2011201316,uuid:d14bc92f-17ba-4420-8709-b7031f055c1c
450,7112131112,4.7,14:10:24,5086
451,11618127,2020-12-14 07:35:00,,
452,7112132101,2020-12-12 07:19:26,2020-12-12 08:30:09,2020-12-12 07:23:00
453,7114150123,0.0,0.0,0.0
454,7114146102,,Rien à signaler,11:31:34
455,62792112,2020-12-11 13:13:12,2020-12-11 05:09:59,2020-12-11 05:37:04
456,62553106,,,
457,62785114,2020-12-21 22:28:31,2020-12-19 09:11:22,2020-12-19 10:00:20
458,7114146123,,,
459,62678105,,,
460,62230102,,,
461,62678113,3369,3369,56.35
462,62555121,,,
463,719113110,2020-11-19 10:14:32,2020-11-19 11:51:21,2020-11-19 10:24:00
464,62681105,,,
465,7114152120,,,1.0
466,62784108,,,
467,719112118,,,
468,7114157119,,,
469,7110117103,,,1.0
470,62792101,2020-12-11 07:00:06,2020-12-11 05:54:00,
471,7114155112,,,
472,62551112,2011201316,uuid:d8b4d530-fc7c-4a85-9158-c9cac0655b05,2020-11-28 12:06:37
473,62788110,,,
474,62227111,,,
475,7114145109,,,
476,7114151114,,,
477,62676126,,,
478,7114155108,2020-11-29 04:55:06,2020-11-29 05:54:06,2020-11-29 04:56:00
479,7114144118,2020-12-01 06:43:05,2020-11-21 07:01:33,2020-11-21 08:08:42
480,62228101,4.9,10:32:55,2802
481,62783101,,,
482,62235110,2020-12-21 03:40:34,2020-12-11 05:16:29,2020-12-10 03:49:24
483,62225119,2020-12-09 08:58:00,,
484,62785123,2020-12-19 02:39:03,2020-12-19 03:23:56,2020-12-19 02:20:00
485,719109123,,,
486,11618203,2020-12-15 05:18:00,,
487,11618202,,,
488,62553101,,,
489,62678114,,,
490,62784105,,,
491,7110118103,,,1.0
492,7110116117,4346,72.55,2011142115
493,10709117,,,
494,719111119,,,
495,62792115,2011212223,uuid:582230ce-d2d1-4639-958c-c039dc5b2892,2020-12-11 13:13:28
496,62678109,,,
497,62554102,,,
498,62786113,,,
499,719108113,0.0,0.0,0.0
500,62557110,,,
501,7114156121,,,
502,7114144121,,,
503,7110117105,,,
504,7110115107,4810,4810,80.38333333333334
505,62677107,2020-12-21 05:49:00,,
506,62235117,,,
507,62556104,,,
508,62558108,,,
509,62782113,,,
510,62678117,2020-12-16 06:56:56,2020-12-16 05:49:00,
511,62784101,,,
512,62676113,,,
513,62787122,,,
514,7110117106,,,
515,11618103,,,
516,719112101,,,
517,62554106,uuid:74a5c3f6-9aee-4b0b-b515-2ca5891c36ca,2020-12-11 09:39:25,2020-12-07 04:50:28
518,7114151119,13:31:48,667,2163
519,62222106,2020-12-17 05:23:00,,
520,62228126,,,
521,62557113,,,
522,7110119108,,,
523,7114156116,,,
524,719111122,,,
525,62556116,2020-12-01 08:55:00,,
526,7112130111,2020-12-19 10:58:07,2020-12-19 02:04:09,2020-12-19 03:13:16
527,62783102,,,
528,62782109,,,
529,62556102,,,1.0
530,7114152106,,1.0,0.0
531,62560106,,,
532,62681127,2020-12-19 07:12:42,2020-12-19 06:05:00,
